,Make,Model,Year,Distance,Engine_capacity(cm3),Price(euro),Vehicle_age,Distance_per_age,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal,Fuel_type_Diesel,Fuel_type_Hybrid,Fuel_type_Metan/Propan,Fuel_type_Petrol,Fuel_type_Plug-in Hybrid,Transmission_Automatic,Transmission_Manual,Distance_per_year,Vehicle_age_sq,Log_Distance,Log_Vehicle_age,Engine_sq,Log_Engine,Age_x_Distance,Age_x_Engine,Distance_x_Engine,Distance_per_engine,Engine_per_age
133,0.10084222707985084,0.0018966182332518966,2018,114000,1800,16750,8,14250,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12666.666666666666,64,11.643962499267984,2.1972245773362196,3240000,7.496097345175956,912000,14400,205200000,63.298167684619656,200.0
134,0.04323646650379324,0.017744631606017743,2017,157600,1500,11990,9,17511,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15760.0,81,11.967821801563451,2.302585092994046,2250000,7.313886831633462,1418400,13500,236400000,104.99666888740839,150.0
135,0.10084222707985084,0.021023530924521024,2014,190000,1800,8990,12,15833,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,14615.384615384615,144,12.154784614286667,2.5649493574615367,3240000,7.496097345175956,2280000,21600,342000000,105.49694614103277,138.46153846153845
136,0.10084222707985084,0.0018966182332518966,2017,119000,1800,18790,9,13222,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11900.0,81,11.686887175419702,2.302585092994046,3240000,7.496097345175956,1071000,16200,214200000,66.07440310938368,180.0
137,0.014787193005014788,0.0006107753632506107,2018,145000,1500,16790,8,18125,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16111.111111111111,64,11.884495917930655,2.1972245773362196,2250000,7.313886831633462,1160000,12000,217500000,96.6022651565623,166.66666666666666
138,0.08303330333033303,0.007297158287257298,2016,150200,1500,13450,10,15020,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13654.545454545454,100,11.919729676079623,2.3978952727983707,2250000,7.313886831633462,1502000,15000,225300000,100.06662225183211,136.36363636363637
139,0.008936607946508936,0.0006429214350006429,2015,149000,2500,21750,11,13545,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,12416.666666666666,121,11.91170829631447,2.4849066497880004,6250000,7.824445930877619,1639000,27500,372500000,59.57616953218712,208.33333333333334
140,0.11887617333161887,0.032306802108782305,2006,216000,2000,5350,20,10800,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10285.714285714286,400,12.283038316285214,3.044522437723423,4000000,7.601402334583733,4320000,40000,432000000,107.94602698650675,95.23809523809524
141,0.0011894046547511895,0.0004821910762504822,2016,88000,1500,15790,10,8800,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8000.0,100,11.385103457032141,2.3978952727983707,2250000,7.313886831633462,880000,15000,132000000,58.627581612258496,136.36363636363637
142,0.020284171274270284,0.0007393596502507394,2002,254000,1800,2700,24,10583,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10160.0,576,12.445093483000798,3.2188758248682006,3240000,7.496097345175956,6096000,43200,457200000,141.03275957801222,72.0
143,0.05799151343705799,0.014883631220264884,2004,230000,1800,3600,22,10455,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10000.0,484,12.345838935721968,3.1354942159291497,3240000,7.496097345175956,5060000,39600,414000000,127.70682953914492,78.26086956521739
144,0.07191076250482191,0.009258068664009259,2003,242927,2200,4600,23,10562,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,10121.958333333334,529,12.400520382121968,3.1780538303479458,4840000,7.696667081526462,5587321,50600,534439400,110.3711949114039,91.66666666666667
145,0.010511765462260512,0.0022502250225022503,2001,256849,1900,2050,25,10274,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,9878.807692307691,625,12.456247535895415,3.258096538021482,3610000,7.550135342488429,6421225,47500,488013100,135.11257233035244,73.07692307692308
146,0.11887617333161887,0.032306802108782305,2007,320000,1600,5999,19,16842,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,16000.0,361,12.676079399771027,2.995732273553991,2560000,7.3783837129967145,6080000,30400,512000000,199.87507807620239,80.0
147,0.038253825382538256,0.0018644721615018644,2006,298000,1500,2999,20,14900,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14190.47619047619,400,12.604852121186608,3.044522437723423,2250000,7.313886831633462,5960000,30000,447000000,198.53431045969353,71.42857142857143
148,0.031985341391281986,0.006847113282756847,2017,27138,1500,13300,9,3015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2713.8,81,10.208727086726242,2.302585092994046,2250000,7.313886831633462,244242,13500,40707000,18.079946702198534,150.0
149,0.05210878230680211,0.02729201491577729,2006,217000,2500,6350,20,10850,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10333.333333333334,400,12.28765724080691,3.044522437723423,6250000,7.824445930877619,4340000,50000,542500000,86.76529388244703,119.04761904761905
150,0.08303330333033303,0.007297158287257298,2016,140000,1500,12400,10,14000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12727.272727272728,100,11.849404844423074,2.3978952727983707,2250000,7.313886831633462,1400000,15000,210000000,93.2711525649567,136.36363636363637
151,0.05799151343705799,0.020959238781020958,2012,166000,1600,8990,14,11857,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,11066.666666666666,196,12.019749091416921,2.70805020110221,2560000,7.3783837129967145,2324000,22400,265600000,103.68519675202998,106.66666666666667
152,0.11887617333161887,0.02725986884402726,2000,250000,1400,2750,26,9615,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9259.25925925926,676,12.429220196836383,3.295836866004329,1960000,7.244941546337007,6500000,36400,350000000,178.44396859386154,51.851851851851855
153,0.05799151343705799,0.014883631220264884,2009,223000,2000,8990,17,13118,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,12388.888888888889,289,12.314931534737134,2.8903717578961645,4000000,7.601402334583733,3791000,34000,446000000,111.44427786106947,111.11111111111111
154,0.10084222707985084,0.014722900861514723,2006,198563,1400,5350,20,9928,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,9455.380952380952,400,12.198866745279844,3.044522437723423,1960000,7.244941546337007,3971260,28000,277988200,141.7294789436117,66.66666666666667
156,0.004982641121254983,0.0026681239552526683,2000,230000,2000,2750,26,8846,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8518.518518518518,676,12.345838935721968,3.295836866004329,4000000,7.601402334583733,5980000,52000,460000000,114.94252873563218,74.07407407407408
158,0.11887617333161887,0.032306802108782305,1995,250369,1800,2700,31,8076,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7824.03125,961,12.430695102723783,3.4657359027997265,3240000,7.496097345175956,7761439,55800,450664200,139.0166574125486,56.25
159,0.021087823068021087,0.00028931464575028933,2005,250632,2000,2690,21,11935,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,11392.363636363636,441,12.431744996733034,3.091042453358316,4000000,7.601402334583733,5263272,42000,501264000,125.25337331334333,90.9090909090909
160,0.009129484377009129,0.00028931464575028933,1998,300000,1900,1450,28,10714,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10344.827586206897,784,12.611541086966115,3.367295829986474,3610000,7.550135342488429,8400000,53200,570000000,157.81167806417676,65.51724137931035
161,0.05799151343705799,0.014883631220264884,2012,165500,1200,5100,14,11821,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,11033.333333333334,196,12.016732516077072,2.70805020110221,1440000,7.0909098220799835,2317000,16800,198600000,137.80183180682764,80.0
162,0.05799151343705799,0.020959238781020958,2010,185000,1390,6099,16,11562,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10882.35294117647,256,12.128116509451258,2.833213344056216,1932100,7.237778191923443,2960000,22240,257150000,132.99784327821712,81.76470588235294
163,0.020284171274270284,0.006975697569756975,2011,248000,2000,9900,15,16533,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,15500.0,225,12.421188057397055,2.772588722239781,4000000,7.601402334583733,3720000,30000,496000000,123.93803098450775,125.0
164,0.046001028674296,0.008679439372508679,2016,170000,1499,8890,10,17000,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,15454.545454545454,100,12.04355959836804,2.3978952727983707,2247001,7.313220387090301,1700000,14990,254830000,113.33333333333333,136.27272727272728
